age,educ,pct_male,prior_crime_incidence,military,armed_robberies,homicides
41.714287,13.142858,0.28571427,1,0,0,0
NA,NA,NA,1,0,0,0
55.142857,12.857142,0.14285713,2,0,0,0
37.285713,13.714286,0.28571427,1,1,0,0
34.57143,15,0.57142854,1,1,0,0
49.285713,11.285714,0.57142854,2,0,0,0
53.285713,8.142858,0.28571427,2,1,0,1
41.857143,12,0.14285713,1,1,0,0
NA,NA,NA,2,1,0,0
NA,NA,NA,1,0,0,0
53.142857,14.714286,0.57142854,1,0,0,0
48.142857,9.285714,0.4285714,1,1,0,0
42.57143,13.428572,0.57142854,2,1,0,0
41.285713,12.142858,0.28571427,2,1,0,1
42.333332,10.166667,0.6666666,1,1,0,0
54.142857,9.571428,0.28571427,2,1,0,0
35.714287,12,0.57142854,1,0,0,0
45.142857,9,0.28571427,1,0,0,0
43.666668,9.333333,0.3333333,1,0,0,0
34.142857,12.571428,0.14285713,1,1,0,0
51.857143,10,0.57142854,1,1,0,0
49,9.285714,0.28571427,1,0,0,0
64,5.428571,0.28571427,1,1,0,0
38.714287,12.142858,0.4285714,2,0,0,0
43,11.714286,0.4285714,2,1,0,0
46,10.142858,0.57142854,1,1,0,0
40.333332,12,0,1,1,0,0
54,8.5,0.5,2,0,0,1
40.142857,10.428572,0.28571427,1,1,0,0
43.714287,9.857142,0.28571427,2,1,0,0
48.142857,9.857142,0.28571427,1,1,0,0
42.285713,11.857142,0,1,0,0,0
38.142857,10.571428,0.28571427,2,0,0,0
43,10.285714,0.4285714,2,0,0,1
47.857143,11.285714,0.28571427,1,1,0,0
51.5,11.5,0.5,1,1,0,0
37.42857,11.714286,0.4285714,1,0,0,0
39.285713,12.857142,0.14285713,1,1,0,0
35.5,13.8,0.16666669,1,1,0,0
46.25,9.5,0.25,2,1,0,0
35.42857,11.285714,0.4285714,1,1,0,0
52,6.428571,0.4285714,1,1,0,0
42.714287,8.428572,0.14285713,1,1,0,0
48,7,0,1,1,0,0
62.57143,5.714286,0.28571427,2,0,0,0
43.285713,14.714286,0.71428573,2,0,0,0
36.57143,12.571428,0.4285714,1,0,0,0
48.142857,13.714286,0.28571427,1,0,0,0
61.714287,10.285714,0.57142854,3,1,0,0
39.42857,11.571428,0.14285713,1,1,0,0
41.42857,6.857143,0,1,1,0,0
34.857143,14.571428,0.28571427,3,0,0,2
52.285713,10.428572,0.4285714,1,1,0,0
37,12.428572,0.14285713,1,0,0,0
38.57143,13.857142,0.28571427,1,0,0,0
44.57143,14,0.28571427,1,0,0,0
43.142857,10.285714,0.57142854,1,0,0,0
30.714285,15.285714,0.14285713,1,0,0,0
40,9.428572,0.14285713,1,0,0,0
38.857143,11.142858,0.28571427,1,0,0,0
NA,NA,NA,1,0,0,0
NA,NA,NA,1,0,0,0
28.857143,13,0.28571427,1,0,0,0
NA,NA,NA,1,0,0,0
40.5,9.5,0,1,0,0,0
41.714287,8.571428,0.14285713,1,0,0,0
44.42857,8.142858,0,1,0,0,0
46.857143,10,0.57142854,1,0,0,0
34,12.25,0,1,0,0,0
29.285715,12.428572,0.57142854,4,0,0,0
39.42857,11.142858,0.28571427,1,1,0,0
51.8,12.8,0.6,1,0,0,0
42.444443,10.666667,0.5555556,1,0,0,0
39,10.5,0.625,1,0,0,0
35.142857,12.285714,0.4285714,1,1,0,0
35.142857,11.857142,0.4285714,1,1,0,0
