"","drafted","lottery","predraft_colprep","predraft_voted_1968","predraft_ideology_index","postwar_support_us_intervention"
"154",0,322,0,0,0.25,"No"
"155",1,74,0,0,0.625,"No"
"156",0,170,1,1,0,"No"
"157",0,248,0,1,0.875,"Yes"
"158",0,351,0,1,0.375,"No"
"159",1,114,1,1,0.5,"Yes"
"160",1,57,0,0,0.375,"Yes"
"161",1,175,0,NA,0.125,"No"
"162",0,108,1,NA,0.375,"No"
"163",1,29,1,0,0.375,"Yes"
"164",0,20,1,1,0.5,"Yes"
"165",0,152,1,0,0.666666686534882,"No"
"166",0,347,0,0,0.25,"Yes"
"167",0,316,1,0,0.25,"Yes"
"168",0,188,1,NA,0.833333313465118,"Yes"
"169",0,155,1,0,0.375,"No"
"170",0,215,0,0,0.25,"No"
"171",0,261,0,1,0,"Yes"
"172",0,48,1,1,0.25,"Yes"
"173",0,206,0,0,0,"Yes"
"174",0,342,0,1,0.375,"No"
"175",1,164,0,1,0,"Yes"
"176",0,223,0,0,0,"No"
"177",0,242,1,1,0.5,"No"
"178",0,209,0,1,0.375,"Yes"
"179",0,220,0,0,0.625,"No"
"180",1,138,1,1,0.375,"Yes"
"181",0,284,0,0,0.375,"Yes"
"182",0,305,0,NA,0.16666667163372,"Yes"
"183",1,250,1,0,0.375,"Yes"
"184",0,336,1,1,0.625,"Yes"
"185",0,57,1,1,0.5,"Yes"
"186",0,255,0,1,0,"Yes"
"187",0,270,1,NA,0.375,"Yes"
"188",1,101,0,0,0.375,"No"
"189",0,34,1,1,0,"No"
"190",0,56,1,1,0.125,"No"
"191",0,272,0,1,0.25,"Yes"
"192",0,114,1,1,0.375,"No"
"193",0,353,0,1,0.25,"No"
"194",1,55,1,1,0.25,"No"
"195",0,143,1,1,0.25,"Yes"
"196",0,130,1,1,0,"No"
"197",0,241,0,1,0.625,"No"
"198",0,318,0,1,0.25,"No"
"199",0,317,0,1,0.375,"No"
"200",0,285,0,0,1,"Yes"
"201",0,307,0,0,0.16666667163372,"No"
"202",0,351,0,0,0.5,"No"
"203",1,352,1,1,0.125,"Yes"
"204",0,216,1,0,0.5,"No"
"205",0,99,1,1,0.333333343267441,"No"
"206",0,5,1,1,0.25,"No"
"207",1,123,0,1,0.25,"Yes"
"208",0,100,1,0,0.375,"No"
"209",0,297,1,0,0.25,"Yes"
"210",0,296,0,1,0.5,"No"
"211",0,206,0,1,0.25,"No"
"212",0,20,1,0,0.5,"Yes"
"213",0,273,0,0,0.5,"Yes"
"214",0,338,1,1,0.125,"No"
"215",0,155,1,1,0.5,"Yes"
"216",1,130,0,1,0.125,"Yes"
"217",0,261,1,0,0.375,"Yes"
"218",0,89,1,NA,0.5,"Yes"
"219",0,342,1,0,0.16666667163372,"No"
"220",0,115,1,NA,0.625,"No"
"221",0,334,0,NA,0.25,"Yes"
"222",0,275,1,NA,0.375,"Yes"
"223",0,44,1,1,0.5,"Yes"
"224",1,24,0,1,0.5,"No"
"225",1,327,1,1,0.375,"No"
"226",0,143,1,NA,0.125,"No"
"227",0,157,1,0,0.5,"Yes"
"228",1,117,0,1,0,"No"
"229",1,282,1,1,0.75,"Yes"
"230",1,223,1,NA,0.5,"Yes"
"231",1,153,1,1,0.625,"No"
"232",0,227,1,0,0,"Yes"
"233",0,161,1,1,1,"No"
"234",0,321,0,0,0.375,"Yes"
"235",0,143,1,0,0.75,"No"
"236",0,159,1,1,0.375,"No"
"237",0,99,1,1,0.125,"No"
"238",0,130,1,1,0.666666686534882,"Yes"
"239",1,120,0,NA,0.25,"No"
"240",0,363,0,0,0.375,"No"
"241",0,160,1,1,0.375,"No"
"242",0,196,0,1,0.625,"No"
"243",0,278,1,1,0.25,"Yes"
"244",0,196,1,0,0.5,"Yes"
"245",0,132,1,0,0,"Yes"
"246",1,191,0,1,0.375,"No"
"247",1,160,0,0,0.25,"No"
"248",0,278,0,0,0.5,"Yes"
"249",1,305,1,1,0.125,"No"
"250",0,216,0,1,0.375,"Yes"
"251",0,14,1,1,0.25,"Yes"
"252",0,336,0,1,0.375,"No"
"253",1,25,0,1,0.16666667163372,"No"
"254",1,34,0,0,0.16666667163372,"No"
"255",0,227,0,0,0.5,"No"
"256",0,27,1,1,0.333333343267441,"Yes"
"257",0,266,0,1,0.16666667163372,"No"
"258",0,232,0,0,0.125,"Yes"
"259",0,334,0,1,0.25,"No"
"260",0,29,1,0,0,"No"
"261",0,127,1,1,0.375,"Yes"
"262",1,111,0,NA,0.5,"Yes"
"263",0,357,0,0,0.75,"Yes"
"264",0,222,0,1,0.375,"No"
"265",1,126,0,0,0.125,"No"
"266",1,38,1,0,0.25,"Yes"
"267",0,246,0,0,0.5,"Yes"
"268",0,281,1,NA,0.125,"No"
